startingAirport,destinationAirport,flight_day_of_week,w1
ATL,BOS,0,-2.071281041767064
ATL,BOS,1,-57.68395038296367
ATL,BOS,2,-49.098614545107736
ATL,BOS,3,-16.123880667761853
ATL,BOS,4,15.981498638216586
ATL,BOS,5,30.42804134853631
ATL,BOS,6,78.56818665167114
ATL,CLT,0,5.165484036951981
ATL,CLT,1,-29.31429671518706
ATL,CLT,2,-21.154700330843575
ATL,CLT,3,13.764410404115617
ATL,CLT,4,15.217449014085693
ATL,CLT,5,-11.385476702266152
ATL,CLT,6,27.707130293710673
ATL,DEN,0,10.923851564748395
ATL,DEN,1,-30.654192817902043
ATL,DEN,2,-15.970175192979431
ATL,DEN,3,8.793202561218282
ATL,DEN,4,-1.1530353485780942
ATL,DEN,5,-26.623784063316172
ATL,DEN,6,54.684133297737034
ATL,DFW,0,35.392436535456206
ATL,DFW,1,-42.51834233917326
ATL,DFW,2,-36.187133025925355
ATL,DFW,3,4.2983965417627825
ATL,DFW,4,-2.952278556802833
ATL,DFW,5,-24.052848366774533
ATL,DFW,6,66.0197692124592
ATL,DTW,0,4.947273872408416
ATL,DTW,1,-49.52255001211325
ATL,DTW,2,-28.65771683822856
ATL,DTW,3,-0.12269882682548322
ATL,DTW,4,28.624368149943
ATL,DTW,5,2.140950679673479
ATL,DTW,6,42.59037297586194
ATL,EWR,0,16.71948556455736
ATL,EWR,1,-45.59053158608869
ATL,EWR,2,-43.846102205276495
ATL,EWR,3,-16.507097467846425
ATL,EWR,4,4.695286819594235
ATL,EWR,5,13.524532108776292
ATL,EWR,6,71.00442676700763
ATL,IAD,0,0.7641438844360151
ATL,IAD,1,-33.34781079955007
ATL,IAD,2,-15.578238448495364
ATL,IAD,3,7.302071700067584
ATL,IAD,4,5.107623537088293
ATL,IAD,5,-17.69754496320428
ATL,IAD,6,53.44975509052096
ATL,JFK,0,-0.9425438310402331
ATL,JFK,1,-30.910987301925484
ATL,JFK,2,-30.507691762195975
ATL,JFK,3,-17.59449669316241
ATL,JFK,4,13.316048152434576
ATL,JFK,5,6.1294755919590225
ATL,JFK,6,60.510195844684716
ATL,LAX,0,7.557296683401044
ATL,LAX,1,-38.806910792520576
ATL,LAX,2,-19.97657900187074
ATL,LAX,3,3.671163917201931
ATL,LAX,4,-2.3314971072142403
ATL,LAX,5,-17.09984728906268
ATL,LAX,6,66.98637359102955
ATL,LGA,0,8.739436641257976
ATL,LGA,1,-47.9057217163956
ATL,LGA,2,-49.0009581483875
ATL,LGA,3,-21.164851600545163
ATL,LGA,4,11.458080034881748
ATL,LGA,5,17.80372136599943
ATL,LGA,6,80.07029342403965
ATL,MIA,0,-11.256136190552956
ATL,MIA,1,-60.532059913064806
ATL,MIA,2,-41.02369333508336
ATL,MIA,3,31.324825681223484
ATL,MIA,4,37.96101894404769
ATL,MIA,5,1.3494441311713894
ATL,MIA,6,42.1766006830982
ATL,OAK,0,14.365090987366026
ATL,OAK,1,-60.9780257281317
ATL,OAK,2,-34.16671489779711
ATL,OAK,3,-6.106425128691697
ATL,OAK,4,15.641001130245538
ATL,OAK,5,-24.432784829063262
ATL,OAK,6,95.67785846752071
ATL,ORD,0,5.381493767741873
ATL,ORD,1,-54.379994751889036
ATL,ORD,2,-29.716663934673917
ATL,ORD,3,23.941335564780058
ATL,ORD,4,23.250085850987496
ATL,ORD,5,-15.363691552112435
ATL,ORD,6,46.887435056075304
ATL,PHL,0,8.271380552708605
ATL,PHL,1,-56.53362554245989
ATL,PHL,2,-44.33511464022427
ATL,PHL,3,0.056257485184271344
ATL,PHL,4,13.147189916604534
ATL,PHL,5,-9.113910773506232
ATL,PHL,6,88.5078230029104
ATL,SFO,0,6.969559459425543
ATL,SFO,1,-47.11960165725321
ATL,SFO,2,-35.80163175907605
ATL,SFO,3,-8.565580501511437
ATL,SFO,4,-19.983300694642622
ATL,SFO,5,-5.4827090693146125
ATL,SFO,6,109.98326422367356
BOS,ATL,0,-9.719211440914208
BOS,ATL,1,-35.151631541576286
BOS,ATL,2,-34.2418837328168
BOS,ATL,3,6.1479860693335375
BOS,ATL,4,19.41856021768872
BOS,ATL,5,18.372740750962365
BOS,ATL,6,35.17343967783641
BOS,CLT,0,-12.962910851154094
BOS,CLT,1,-57.768283115812835
BOS,CLT,2,-47.22914220224287
BOS,CLT,3,4.996996510671671
BOS,CLT,4,35.28556391905334
BOS,CLT,5,29.784944774061643
BOS,CLT,6,47.89283096608397
BOS,DEN,0,4.076726956112202
BOS,DEN,1,-35.25853879542941
BOS,DEN,2,-28.075260904824066
BOS,DEN,3,6.206215237762961
BOS,DEN,4,1.669684806157652
BOS,DEN,5,-2.4260729574955393
BOS,DEN,6,53.80724565841675
BOS,DFW,0,27.077427051678157
BOS,DFW,1,-37.06397600291047
BOS,DFW,2,-39.37807818122634
BOS,DFW,3,-14.854635753905427
BOS,DFW,4,-8.498905121253221
BOS,DFW,5,1.617339544272465
BOS,DFW,6,71.10082846408554
BOS,DTW,0,6.589462825734971
BOS,DTW,1,-46.02545534736341
BOS,DTW,2,-51.85459153375082
BOS,DTW,3,2.20183683662109
BOS,DTW,4,37.4838121976245
BOS,DTW,5,9.949552400212866
BOS,DTW,6,41.65538262159881
BOS,EWR,0,-37.807534914813296
BOS,EWR,1,-48.54139392010051
BOS,EWR,2,-21.662050426276902
BOS,EWR,3,-26.97934213094914
BOS,EWR,4,18.99148407205654
BOS,EWR,5,77.74959405519705
BOS,EWR,6,38.249243265553126
BOS,IAD,0,-0.43155060195774253
BOS,IAD,1,-56.90189703784421
BOS,IAD,2,-48.10013069012972
BOS,IAD,3,-11.504499774140273
BOS,IAD,4,25.090988893304928
BOS,IAD,5,24.923954254770265
BOS,IAD,6,66.92313495676163
BOS,JFK,0,-16.19563066718309
BOS,JFK,1,-22.658564858691264
BOS,JFK,2,-4.4664976696161025
BOS,JFK,3,-0.41967223692549743
BOS,JFK,4,13.654144043367694
BOS,JFK,5,12.143046469241288
BOS,JFK,6,17.943174920102578
BOS,LAX,0,9.517490655009375
BOS,LAX,1,-38.86336136718367
BOS,LAX,2,-31.50636158509947
BOS,LAX,3,-5.305952634185192
BOS,LAX,4,-16.689003963674462
BOS,LAX,5,4.0454319733290065
BOS,LAX,6,78.8017569226522
BOS,LGA,0,-29.877644239612664
BOS,LGA,1,-30.690660877312194
BOS,LGA,2,-25.241077360636393
BOS,LGA,3,-24.765252222130986
BOS,LGA,4,-5.678380647157432
BOS,LGA,5,107.03739027536324
BOS,LGA,6,9.215625072648457
BOS,MIA,0,-27.314357389043742
BOS,MIA,1,-59.21062916773289
BOS,MIA,2,-38.13185391930246
BOS,MIA,3,29.777728816944414
BOS,MIA,4,47.52048667579904
BOS,MIA,5,22.41703987723203
BOS,MIA,6,24.9415851067698
BOS,OAK,0,-8.553063891402639
BOS,OAK,1,-38.35942210544046
BOS,OAK,2,-40.32425569706199
BOS,OAK,3,2.2700516115222062
BOS,OAK,4,12.930583925176732
BOS,OAK,5,-32.72220224045348
BOS,OAK,6,104.75830839938845
BOS,ORD,0,-5.606923251241392
BOS,ORD,1,-39.68775872181831
BOS,ORD,2,-39.79784647565994
BOS,ORD,3,11.032659858615308
BOS,ORD,4,24.366169014886836
BOS,ORD,5,1.9335724327760735
BOS,ORD,6,47.76012714319462
BOS,PHL,0,-15.225675787914238
BOS,PHL,1,-13.313513233108196
BOS,PHL,2,-25.682290287125642
BOS,PHL,3,-1.5559395053071463
BOS,PHL,4,14.98537504509162
BOS,PHL,5,9.22466801300811
BOS,PHL,6,31.56737575591334
BOS,SFO,0,37.272653164589485
BOS,SFO,1,-44.55337598491152
BOS,SFO,2,-60.78732156408688
BOS,SFO,3,-21.000502728093014
BOS,SFO,4,-24.62573359406894
BOS,SFO,5,-2.792740661267655
BOS,SFO,6,116.48702136910377
CLT,ATL,0,6.7319659382922525
CLT,ATL,1,-14.211235070889822
CLT,ATL,2,-17.099867769832837
CLT,ATL,3,1.6874363065018385
CLT,ATL,4,5.43468970748658
CLT,ATL,5,-2.6909801569778953
CLT,ATL,6,20.147991045725725
CLT,BOS,0,19.436781463263223
CLT,BOS,1,-80.66582898185942
CLT,BOS,2,-72.8297742326848
CLT,BOS,3,-29.529144226808302
CLT,BOS,4,9.852182643047906
CLT,BOS,5,40.14684612226231
CLT,BOS,6,113.58893721383282
CLT,DEN,0,28.594637744439755
CLT,DEN,1,-49.52940840577221
CLT,DEN,2,-38.527471213677536
CLT,DEN,3,15.3635363699152
CLT,DEN,4,0.6245028718505417
CLT,DEN,5,-34.97188959691536
CLT,DEN,6,78.44609223146789
CLT,DFW,0,53.89309766829553
CLT,DFW,1,-45.36156904777566
CLT,DFW,2,-45.24057059515987
CLT,DFW,3,1.8068551609048873
CLT,DFW,4,9.768902087965946
CLT,DFW,5,-50.77273463871358
CLT,DFW,6,75.90601936592238
CLT,DTW,0,18.215537380266166
CLT,DTW,1,-39.29243789710841
CLT,DTW,2,-42.09766009693551
CLT,DTW,3,-3.3740699528747493
CLT,DTW,4,19.78708220665796
CLT,DTW,5,2.5084047447756297
CLT,DTW,6,44.2531436158507
CLT,EWR,0,13.811661220976347
CLT,EWR,1,-39.26301081318615
CLT,EWR,2,-39.84178356470401
CLT,EWR,3,-8.027203112214988
CLT,EWR,4,8.616663129993873
CLT,EWR,5,7.980325862892713
CLT,EWR,6,56.72334727688391
CLT,IAD,0,12.177836413016335
CLT,IAD,1,-50.7649755800521
CLT,IAD,2,-50.507810638487314
CLT,IAD,3,-10.715068926054826
CLT,IAD,4,19.293678583820853
CLT,IAD,5,-10.107109926520693
CLT,IAD,6,90.62345007555334
CLT,JFK,0,4.723146610615082
CLT,JFK,1,-30.925121280142193
CLT,JFK,2,-30.748039981828384
CLT,JFK,3,-7.6357830785541845
CLT,JFK,4,11.1231686052697
CLT,JFK,5,4.573923037022151
CLT,JFK,6,48.88870608821519
CLT,LAX,0,22.869602842633068
CLT,LAX,1,-49.26129645219459
CLT,LAX,2,-38.559605499581934
CLT,LAX,3,-0.614518300319995
CLT,LAX,4,-7.8511210994662655
CLT,LAX,5,-14.444425087903834
CLT,LAX,6,87.86136359796879
CLT,LGA,0,8.660432058990487
CLT,LGA,1,-36.280660448593856
CLT,LGA,2,-39.8466565211285
CLT,LGA,3,-11.269108936159924
CLT,LGA,4,8.466910984081654
CLT,LGA,5,15.83902449353716
CLT,LGA,6,54.430058369832636
CLT,MIA,0,-6.895473711275071
CLT,MIA,1,-55.26075975513986
CLT,MIA,2,-36.73370388490761
CLT,MIA,3,21.89428616295236
CLT,MIA,4,47.68222158299771
CLT,MIA,5,-2.8269187405143423
CLT,MIA,6,32.1403483467122
CLT,OAK,0,56.885884289568175
CLT,OAK,1,-56.09660591691089
CLT,OAK,2,-54.676317643446886
CLT,OAK,3,5.674699354943086
CLT,OAK,4,-0.12468519810606542
CLT,OAK,5,-52.94307695105446
CLT,OAK,6,101.28010206671178
CLT,ORD,0,5.505912159140599
CLT,ORD,1,-51.21225832670894
CLT,ORD,2,-35.995560805275446
CLT,ORD,3,14.940370338617033
CLT,ORD,4,23.181410022580593
CLT,ORD,5,-21.050467319414974
CLT,ORD,6,64.63059393220065
CLT,PHL,0,31.428046341665095
CLT,PHL,1,-72.71327084077294
CLT,PHL,2,-57.14022517344532
CLT,PHL,3,5.935360093294557
CLT,PHL,4,37.54889025240775
CLT,PHL,5,-13.30903592977465
CLT,PHL,6,68.25023525788887
CLT,SFO,0,27.112071938676877
CLT,SFO,1,-56.39916588177137
CLT,SFO,2,-52.2202997742615
CLT,SFO,3,-9.685330145724539
CLT,SFO,4,-14.042249389967955
CLT,SFO,5,-50.54678670033048
CLT,SFO,6,155.78175995565658
DEN,ATL,0,1.3603734254611033
DEN,ATL,1,-31.971183583360705
DEN,ATL,2,-10.943835591621115
DEN,ATL,3,10.136018138997985
DEN,ATL,4,7.658178970208507
DEN,ATL,5,-24.70430840186484
DEN,ATL,6,48.4647570430769
DEN,BOS,0,8.22207245346364
DEN,BOS,1,-57.46927202113937
DEN,BOS,2,-39.7877588791656
DEN,BOS,3,4.6284247365218985
DEN,BOS,4,12.691537692215528
DEN,BOS,5,-1.7940568814282634
DEN,BOS,6,73.50905290050437
DEN,CLT,0,6.744762863552281
DEN,CLT,1,-52.45061612950136
DEN,CLT,2,-36.07854330918224
DEN,CLT,3,25.276174410861728
DEN,CLT,4,19.254718367989057
DEN,CLT,5,-24.15756842850019
DEN,CLT,6,61.41107222592261
DEN,DFW,0,45.153224477673206
DEN,DFW,1,-13.987638940784606
DEN,DFW,2,-35.954995648167746
DEN,DFW,3,4.0202045520377885
DEN,DFW,4,-10.10189854210947
DEN,DFW,5,-23.089501223682664
DEN,DFW,6,33.960605325732466
DEN,DTW,0,14.644172501681334
DEN,DTW,1,-31.621889686558877
DEN,DTW,2,-19.8886502833787
DEN,DTW,3,9.564102050884037
DEN,DTW,4,5.037433596724878
DEN,DTW,5,-24.488308626453453
DEN,DTW,6,46.753140447939224
DEN,EWR,0,10.033312645805339
DEN,EWR,1,-52.60791001593253
DEN,EWR,2,-47.71580627937555
DEN,EWR,3,-5.832823309094254
DEN,EWR,4,5.740604581207763
DEN,EWR,5,-10.549168506733437
DEN,EWR,6,100.93179088546046
DEN,IAD,0,22.634907518632644
DEN,IAD,1,-67.48494601142575
DEN,IAD,2,-54.70755419228356
DEN,IAD,3,8.86461590100006
DEN,IAD,4,25.114996963450672
DEN,IAD,5,-28.090795363580746
DEN,IAD,6,93.66877518574513
DEN,JFK,0,-1.0751006748378469
DEN,JFK,1,-22.741247104658186
DEN,JFK,2,-14.971317728889318
DEN,JFK,3,-3.408266790116294
DEN,JFK,4,10.864621422339937
DEN,JFK,5,2.9209788806207633
DEN,JFK,6,28.410331995914802
DEN,LAX,0,3.0283392827968107
DEN,LAX,1,-40.6274454552599
DEN,LAX,2,-32.65774371593807
DEN,LAX,3,16.610443312308277
DEN,LAX,4,14.59132471096229
DEN,LAX,5,-23.280279494591387
DEN,LAX,6,62.33536136081965
DEN,LGA,0,11.929032867518474
DEN,LGA,1,-48.887372185334975
DEN,LGA,2,-49.84104923394584
DEN,LGA,3,-3.7264110728157336
DEN,LGA,4,0.6487821779026841
DEN,LGA,5,19.550890338101055
DEN,LGA,6,70.32612710930448
DEN,MIA,0,-17.022937829573234
DEN,MIA,1,-61.52037229962396
DEN,MIA,2,-16.64834155254312
DEN,MIA,3,45.17420270909376
DEN,MIA,4,39.53209166400772
DEN,MIA,5,-15.44041724072321
DEN,MIA,6,25.92577455019886
DEN,OAK,0,6.210632544948673
DEN,OAK,1,-49.1426372421558
DEN,OAK,2,-34.19432498455655
DEN,OAK,3,2.9718395274808227
DEN,OAK,4,7.777479452087451
DEN,OAK,5,3.178300727094672
DEN,OAK,6,63.19870997587414
DEN,ORD,0,29.489289779466837
DEN,ORD,1,-42.247310108373945
DEN,ORD,2,-29.536460493357605
DEN,ORD,3,19.534433091625477
DEN,ORD,4,15.740548248987237
DEN,ORD,5,-48.064727406309125
DEN,ORD,6,55.084226889219195
DEN,PHL,0,4.316351713694697
DEN,PHL,1,-56.559752175039975
DEN,PHL,2,-40.788219174048066
DEN,PHL,3,15.17731686768982
DEN,PHL,4,27.960662511243996
DEN,PHL,5,-14.215505890296647
DEN,PHL,6,64.10914614785099
DEN,SFO,0,11.63095133959915
DEN,SFO,1,-41.37931387986883
DEN,SFO,2,-34.378103010144045
DEN,SFO,3,11.601919645133643
DEN,SFO,4,-7.4313085437649615
DEN,SFO,5,-21.425291928334005
DEN,SFO,6,81.38114637856381
DFW,ATL,0,5.151090153416797
DFW,ATL,1,-41.237587490921804
DFW,ATL,2,-17.64106911926386
DFW,ATL,3,22.390348300412757
DFW,ATL,4,22.844749035362437
DFW,ATL,5,-39.20554083088059
DFW,ATL,6,47.69800995301537
DFW,BOS,0,-4.488259949322397
DFW,BOS,1,-71.16065443352915
DFW,BOS,2,-49.867619029603254
DFW,BOS,3,-3.1398733954013536
DFW,BOS,4,6.385416277416491
DFW,BOS,5,31.595260715143933
DFW,BOS,6,90.6757298162393
DFW,CLT,0,-0.3085416180329056
DFW,CLT,1,-66.75392962965721
DFW,CLT,2,-36.63363539423214
DFW,CLT,3,38.22074049424996
DFW,CLT,4,30.352579189697384
DFW,CLT,5,-44.078800476506544
DFW,CLT,6,79.2015874361242
DFW,DEN,0,-5.944422316451266
DFW,DEN,1,-15.380027667910236
DFW,DEN,2,10.386886039227031
DFW,DEN,3,4.930669237064046
DFW,DEN,4,8.500091081133302
DFW,DEN,5,-35.60623972733545
DFW,DEN,6,33.11304335512124
DFW,DTW,0,4.1586820664794875
DFW,DTW,1,-44.148678161886316
DFW,DTW,2,-25.506823889661103
DFW,DTW,3,15.322482253030348
DFW,DTW,4,18.672185200665478
DFW,DTW,5,-20.296667909544553
DFW,DTW,6,51.79882044187398
DFW,EWR,0,7.804385984822673
DFW,EWR,1,-65.46917385935905
DFW,EWR,2,-37.76937598061269
DFW,EWR,3,9.651758564632674
DFW,EWR,4,15.60376728812046
DFW,EWR,5,-20.054739291536844
DFW,EWR,6,90.23337729530746
DFW,IAD,0,-10.959895054274739
DFW,IAD,1,-59.51414295674069
DFW,IAD,2,-36.813037368367986
DFW,IAD,3,17.976149806037768
DFW,IAD,4,15.18672525079598
DFW,IAD,5,-36.69982707311129
DFW,IAD,6,110.82402739750785
DFW,JFK,0,15.715479884942244
DFW,JFK,1,-49.274434046463064
DFW,JFK,2,-37.49835232136144
DFW,JFK,3,14.652074179465876
DFW,JFK,4,2.0225426794562313
DFW,JFK,5,-10.431358682718532
DFW,JFK,6,64.8140483076082
DFW,LAX,0,-2.7966423997846097
DFW,LAX,1,-21.637291534274723
DFW,LAX,2,-17.531256470714002
DFW,LAX,3,12.79216771230257
DFW,LAX,4,8.882722861094818
DFW,LAX,5,-27.709961210582513
DFW,LAX,6,48.00026104290365
DFW,LGA,0,4.875984112285797
DFW,LGA,1,-59.55101350697133
DFW,LGA,2,-48.281266329235294
DFW,LGA,3,1.5770676410016382
DFW,LGA,4,20.163545279008524
DFW,LGA,5,19.460066975624787
DFW,LGA,6,61.755615828992156
DFW,MIA,0,-28.143405477841494
DFW,MIA,1,-60.2362505661067
DFW,MIA,2,-21.587009940270008
DFW,MIA,3,45.70717667287966
DFW,MIA,4,54.70649006222831
DFW,MIA,5,-19.552026735377073
DFW,MIA,6,29.105025985522907
DFW,OAK,0,-10.00147886325822
DFW,OAK,1,-30.404447908135214
DFW,OAK,2,-12.803961336816522
DFW,OAK,3,-0.3041478131283327
DFW,OAK,4,19.446814044196838
DFW,OAK,5,-12.66778090788347
DFW,OAK,6,46.73500278584354
DFW,ORD,0,0.15207404492307283
DFW,ORD,1,-51.905160086005914
DFW,ORD,2,-4.061242964109231
DFW,ORD,3,43.28430669208194
DFW,ORD,4,27.397330061472065
DFW,ORD,5,-60.15960996454994
DFW,ORD,6,45.29230221760351
DFW,PHL,0,7.257120835990507
DFW,PHL,1,-72.76870373703687
DFW,PHL,2,-41.83036617121044
DFW,PHL,3,31.40873730756819
DFW,PHL,4,29.796071545973295
DFW,PHL,5,-35.43344783917051
DFW,PHL,6,81.57058805944489
DFW,SFO,0,-11.542418841557755
DFW,SFO,1,-46.39316418090215
DFW,SFO,2,-32.73241839800544
DFW,SFO,3,15.36036648907887
DFW,SFO,4,-2.4208677911082006
DFW,SFO,5,-15.55743644426074
DFW,SFO,6,93.28593916812764
DTW,ATL,0,-13.429610081487814
DTW,ATL,1,-34.882175631824886
DTW,ATL,2,-24.595712351092768
DTW,ATL,3,-3.5167489953035638
DTW,ATL,4,32.89501278241319
DTW,ATL,5,7.933980011843989
DTW,ATL,6,35.59525426605195
DTW,BOS,0,-2.1708365949672968
DTW,BOS,1,-61.88684400291157
DTW,BOS,2,-56.00166066671949
DTW,BOS,3,-9.373593789465094
DTW,BOS,4,25.207808257973447
DTW,BOS,5,22.008950586348444
DTW,BOS,6,82.2161762107003
DTW,CLT,0,-4.740436543167804
DTW,CLT,1,-43.74497940523855
DTW,CLT,2,-35.41967482956222
DTW,CLT,3,13.81049289758975
